highest/JJS body/NN in/IN elected/VBN officials/NNS
percent/NN because/IN in/IN federal/JJ pay/NN
this/DT pattern/NN in/IN shortchanging/VBG va/NN
best/JJS interest/NN in/IN veterans/NNS and/CC
a/DT reduction/NN in/IN critical/JJ medical/JJ
guided/VBD servicemembers/NNS in/IN active/JJ duty/NN
as/IN chairman/NN in/IN the/DT committee/NN
another/DT group/NN in/IN veterans/NNS that/WDT
both/DT sides/NNS in/IN the/DT aisle/NN
so/RB hard/RB in/IN this/DT bill/NN
on/IN lieu/NN in/IN taxes/NNS issue/NN
the/DT meaning/NN in/IN a/DT statement/NN
twothirds/NNS in/IN most/JJS on/IN
on/IN lieu/NN in/IN taxes/NNS to/TO
the/DT rest/NN in/IN the/DT country/NN
our/PRP$ lack/NN in/IN fiscal/JJ responsibility/NN
and/CC dependent/JJ in/IN medicaid/NN will/MD
coastal/JJ areas/NNS in/IN the/DT united/VBN
whole/JJ lot/NN in/IN gas/NN and/CC
western/JJ gulf/NN in/IN mexico/NN where/WRB
where/WRB tens/NNS in/IN millions/NNS on/IN
and/CC in/IN course/NN congress/NN
the/DT house/NN in/IN representatives/NNS has/VBZ
despoiling/VBG all/DT in/IN our/PRP$ coastal/JJ
a/DT mean/NN in/IN billion/CD barrels/NNS
billion/CD barrels/NNS in/IN undiscovered/JJ recoverable/JJ
cubic/JJ feet/NNS in/IN undiscovered/JJ recoverable/JJ
assessments/NNS in/IN the/DT entire/JJ
the/DT assessments/NNS in/IN the/DT atlantic/JJ
a/DT result/NN in/IN recent/JJ drilling/NN
the/DT definition/NN in/IN new/JJ plays/NNS
shelf/NN areas/NNS in/IN the/DT central/JJ
western/JJ gulf/NN in/IN mexico/NN and/CC
the/DT health/NN in/IN our/PRP$ people/NNS
million/CD gallons/NNS in/IN waste/NN will/MD
direct/JJ result/NN in/IN nutrient/JJ pollution/NN
of/IN July/NNP in/IN data/NNS from/IN
shows/VBZ one/CD in/IN the/DT largest/JJS
largest/JJS areas/NNS in/IN oxygendepleted/JJ water/NN
include/VB restrictions/NNS in/IN nitrogen/NN pollution/NN
the/DT standards/NNS in/IN nitrogen/NN pollution/NN
of/IN support/NN in/IN the/DT bacahinojosa/NN
funding/NN for/IN in/IN our/PRP$ nation/NN
his/PRP$ leadership/NN in/IN this/DT very/RB
is/VBZ one/CD in/IN the/DT most/RBS
on/IN support/NN in/IN the/DT hensarling/VBG
gets/VBZ us/PRP in/IN the/DT path/NN
the/DT path/NN in/IN being/VBG able/JJ
back/RB cuts/NNS in/IN the/DT top/JJ
human/JJ assets/NNS in/IN this/DT country/NN
the/DT problems/NNS in/IN juvenile/JJ delinquency/NN
public/JJ stance/NN in/IN the/DT need/NN
six/CD months/NNS in/IN the/DT war/NN
last/JJ year/NN in/IN the/DT bush/JJ
getting/VBG all/DT in/IN our/PRP$ defense/NN
exceed/VBP those/DT in/IN the/DT clinton/NN
of/IN lieu/NN in/IN taxes/NNS program/NN
compensates/VBZ units/NNS in/IN general/JJ government/NN
federal/JJ ownership/NN in/IN the/DT land/NN
large/JJ majority/NN in/IN the/DT congressional/JJ
full/JJ funding/NN in/IN pilt/NN as/IN
rightful/JJ implementation/NN in/IN countryoforigin/NN labeling/VBG
extra/JJ cents/NNS in/IN every/DT pound/NN
every/DT pound/NN in/IN hamburger/NN or/CC
hamburger/NN or/CC in/IN every/DT pound/NN
every/DT pound/NN in/IN beef/NN that/IN
produces/VBZ some/DT in/IN the/DT safest/JJS
a/DT deficit/NN in/IN billion/CD on/IN
cuts/VBZ spending/NN in/IN mandatory/JJ domestic/JJ
fact/NN percent/NN in/IN these/DT tax/NN
national/JJ spending/NN in/IN priorities/NNS that/WDT
get/VB us/PRP in/IN the/DT road/NN
the/DT gulf/NN in/IN mexico/NN so/IN
the/DT economy/NN in/IN california/NN is/VBZ
a/DT lot/NN in/IN our/PRP$ friends/NNS
our/PRP$ friends/NNS in/IN the/DT other/JJ
other/JJ side/NN in/IN the/DT aisle/NN
major/JJ part/NN in/IN social/JJ security/NN
our/PRP$ friends/NNS in/IN the/DT other/JJ
other/JJ side/NN in/IN the/DT aisle/NN
a/DT category/NN in/IN their/PRP$ own/JJ
the/DT prevailing/VBG in/IN these/DT tax/NN
strong/JJ support/NN in/IN the/DT slaughtershaysdicksleachprice/NN
profound/JJ influence/NN in/IN artscentric/JJ businesses/NNS
while/IN some/DT in/IN the/DT country/NN
a/DT minority/NN in/IN people/NNS the/DT
all/DT walks/VBZ in/IN life/NN
a/DT sense/NN in/IN nationalism/NN for/IN
the/DT rest/NN in/IN the/DT country/NN
the/DT architecture/NN in/IN the/DT sears/NNS
the/DT form/NN in/IN our/PRP$ children/NNS
a/DT wealth/NN in/IN diversity/NN
of/IN support/NN in/IN the/DT amendment/NN
the/DT price/NN in/IN natural/JJ gas/NN
and/CC priorities/NNS in/IN americans/NNS
the/DT cost/NN in/IN the/DT tax/NN
top/JJ percent/NN in/IN households/NNS alone/RB
the/DT thousands/NNS in/IN americans/NNS who/WP
the/DT ranks/NNS in/IN the/DT uninsured/JJ
the/DT chairman/NN in/IN doing/VBG the/DT
spent/VBN time/NN in/IN is/VBZ determining/VBG
disabled/JJ living/NN in/IN the/DT edge/NN
must/MD think/VB in/IN it/PRP on/IN
the/DT department/NN in/IN health/NN and/CC
the/DT recalls/NNS in/IN bextra/NN and/CC
the/DT head/NN in/IN the/DT agency/NN
spent/VBD billion/CD in/IN directtoconsumer/NN advertising/NN
a/DT country/NN in/IN origin/NN labeling/VBG
world/NN many/JJ in/IN whom/WP are/VBP
and/CC sources/NNS in/IN transportation/NN and/CC
many/JJ areas/NNS in/IN our/PRP$ country/NN
the/DT series/NN in/IN crises/NNS that/IN
the/DT office/NN in/IN drug/NN safety/NN
the/DT risks/NNS in/IN some/DT on/IN
that/WDT are/VBP in/IN the/DT market/NN
the/DT country/NN in/IN origin/NN labeling/VBG
postmarketing/VBG studies/NNS in/IN drug/NN products/NNS
drug/NN products/NNS in/IN the/DT market/NN
the/DT citizenry/NN in/IN this/DT country/NN
on/IN support/NN in/IN this/DT amendment/NN
the/DT house/NN in/IN representatives/NNS and/CC
are/VBP part/NN in/IN this/DT effort/NN
public/JJ interest/NN in/IN a/DT whole/JJ
whole/JJ variety/NN in/IN measures/NNS and/CC
the/DT goal/NN in/IN the/DT mission/NN
without/IN conflicts/NNS in/IN interest/NN to/TO
my/PRP$ assessment/NN in/IN that/DT
the/DT area/NN in/IN education/NN and/CC
the/DT cost/NN in/IN health/NN care/NN
the/DT wisdom/NN in/IN the/DT fiscal/JJ
the/DT committee/NN in/IN the/DT budget/NN
as/IN committee/NN in/IN the/DT budget/NN
a/DT matter/NN in/IN fact/NN but/CC
makes/VBZ all/DT in/IN the/DT difference/NN
national/JJ parks/NNS in/IN whether/IN they/PRP
full/JJ coverage/NN in/IN uncontrollable/JJ costs/NNS
program/NN stays/NNS in/IN track/NN towards/IN
a/DT consensus/NN in/IN funding/NN in/IN
in/IN funding/NN in/IN the/DT nea/NN
increase/VB both/DT in/IN these/DT endowments/NNS
the/DT challenge/NN in/IN what/WP could/MD
with/IN estimates/NNS in/IN higher/JJR than/IN
several/JJ areas/NNS in/IN the/DT country/NN
restore/VB some/DT in/IN the/DT cuts/NNS
mike/JJ stephens/NNS in/IN mr/NN obey/NN
pete/NN modaff/NN in/IN my/PRP$ staff/NN
democratic/JJ member/NN in/IN the/DT full/JJ
can/MD move/VB in/IN knowing/VBG that/IN
first/RB in/IN all/DT we/PRP
have/VBP insisted/VBN in/IN exempting/VBG the/DT
for/IN millions/NNS in/IN americans/NNS including/VBG
funding/NN shortfall/NN in/IN million/CD and/CC
the/DT holes/NNS in/IN abandoned/VBN septic/JJ
the/DT street/NN in/IN pennsylvania/NN avenue/NN
the/DT burden/NN in/IN its/PRP$ fiscal/JJ
american/JJ value/NN in/IN shared/VBN sacrifice/NN
to/TO millions/NNS in/IN america/NN s/VBZ
every/DT member/NN in/IN this/DT house/NN
the/DT face/NN in/IN millions/NNS on/IN
vote/NN no/DT in/IN this/DT unfair/JJ
every/DT penny/NN in/IN his/PRP$ tax/NN
a/DT reduction/NN in/IN critical/JJ medical/JJ
the/DT cost/NN in/IN doing/VBG business/NN
percent/NN because/IN in/IN federal/JJ pay/NN
this/DT pattern/NN in/IN shortchanging/VBG va/NN
clearly/RB both/DT in/IN these/DT amendments/NNS
best/JJS interest/NN in/IN veterans/NNS and/CC
adding/VBG hundreds/NNS in/IN billions/NNS in/IN
in/IN billions/NNS in/IN dollars/NNS to/TO
a/DT sea/NN in/IN red/JJ ink/NN
the/DT rest/NN in/IN their/PRP$ lives/NNS
by/IN supporters/NNS in/IN this/DT bill/NN
top/JJ onetenth/NN in/IN one/CD percent/NN
personal/JJ debt/NN in/IN citizens/NNS have/VBP
the/DT architects/NNS in/IN three/CD consecutive/JJ
a/DT handful/NN in/IN opec/JJ oil/NN
serious/JJ impact/NN in/IN areas/NNS of/IN
district/NN and/CC in/IN surrounding/VBG communities/NNS
no/DT tax/NN in/IN the/DT land/NN
good/JJ deal/NN in/IN problems/NNS that/IN
on/IN support/NN in/IN the/DT amendment/NN
the/DT rest/NN in/IN us/PRP that/IN
open/JJ debate/NN in/IN the/DT house/NN
of/IN support/NN in/IN the/DT democratic/JJ
of/IN top/NN in/IN the/DT record/NN
to/TO all/DT in/IN these/DT figures/NNS
consecutive/JJ years/NNS in/IN the/DT largest/JJS
the/DT dark/NN in/IN night/NN this/DT
the/DT voice/NN in/IN the/DT american/JJ
is/VBZ clear/JJ in/IN the/DT issue/NN
the/DT issue/NN in/IN funding/NN for/IN
the/DT dark/NN in/IN night/NN mark/NN
the/DT dark/NN in/IN night/NN so/IN
perhaps/RB one/CD in/IN the/DT most/RBS
individual/JJ members/NNS in/IN the/DT house/NN
the/DT substance/NN in/IN this/DT budget/NN
second/JJ in/IN all/DT we/PRP
a/DT combination/NN in/IN a/DT slowdown/NN
a/DT war/NN in/IN terrorism/NN that/WDT
to/TO continue/VB in/IN the/DT path/NN
the/DT path/NN in/IN economic/JJ growth/NN
on/IN support/NN in/IN this/DT resolution/NN
any/DT member/NN in/IN the/DT house/NN
a/DT couple/NN in/IN points/NNS i/FW
growth/NN performances/NNS in/IN the/DT past/JJ
a/DT path/NN in/IN high/JJ growth/NN
the/DT reins/NNS in/IN spending/NN
longterm/JJ health/NN in/IN the/DT social/JJ
a/DT choice/NN in/IN either/CC going/VBG
over/IN many/JJ in/IN these/DT provisions/NNS
a/DT saturnalia/NN in/IN new/JJ spending/NN
can/MD think/VB in/IN a/DT lot/NN
a/DT lot/NN in/IN things/NNS that/WDT
spend/VB money/NN in/IN of/IN the/DT
regardless/RB in/IN any/DT concern/NN
the/DT number/NN in/IN uninsured/JJ americans/NNS
increased/VBD numbers/NNS in/IN uninsured/JJ and/CC
their/PRP$ share/NN in/IN medicaid/NN costs/NNS
national/JJ association/NN in/IN counties/NNS oppose/VBP
on/IN support/NN in/IN both/DT the/DT
the/DT amendment/NN in/IN the/DT gentleman/NN
will/MD trample/VB in/IN a/DT longstanding/JJ
arbitrary/JJ percentage/NN in/IN crude/JJ oil/NN
put/VB food/NN in/IN the/DT table/NN
no/DT vote/NN in/IN both/DT on/IN
strong/JJ support/NN in/IN slaughter/NN amendment/NN
an/DT understanding/NN in/IN american/JJ culture/NN
a/DT sense/NN in/IN historical/JJ and/CC
many/JJ in/IN these/DT businesses/NNS
the/DT development/NN in/IN the/DT plans/NNS
xz/NN chairman/NN in/IN the/DT subcommittee/NN
a/DT point/NN in/IN clarification/NN i/FW
the/DT construction/NN in/IN high/JJ priority/NN
the/DT section/NN in/IN the/DT epa/NN
on/IN support/NN in/IN sound/JJ management/NN
the/DT town/NN in/IN calexico/NN and/CC
the/DT construction/NN in/IN water/NN and/CC
the/DT lack/NN in/IN funding/NN for/IN
desperate/JJ need/NN in/IN assistance/NN
includes/VBZ three/CD in/IN the/DT ten/NN
the/DT numbers/NNS in/IN school/NN children/NNS
funding/VBG level/NN in/IN million/CD dollars/NNS
examples/NNS in/IN the/DT many/JJ
makes/VBZ cuts/NNS in/IN percent/NN on/IN
on/IN lieu/NN in/IN taxes/NNS where/WRB
high/JJ incidence/NN in/IN federal/JJ land/NN
is/VBZ less/JJR in/IN that/DT than/IN
the/DT incidence/NN in/IN federal/JJ land/NN
the/DT incidence/NN in/IN federal/JJ land/NN
hawaiian/NN department/NN in/IN education/NN for/IN
the/DT end/NN in/IN the/DT day/NN
the/DT end/NN in/IN the/DT year/NN
financial/JJ burden/NN in/IN to/TO their/PRP$
was/VBD nothing/NN in/IN the/DT chart/NN
on/IN support/NN in/IN the/DT bill/NN
a/DT point/NN in/IN order/NN against/IN
that/IN begins/VBZ in/IN page/NN line/NN
stringent/JJ liability/NN in/IN the/DT retailers/NNS
every/DT one/CD in/IN them/PRP is/VBZ
separate/JJ set/NN in/IN regulations/NNS so/IN
separate/JJ set/NN in/IN regulations/NNS for/IN
the/DT committee/NN in/IN agriculture/NN legislation/NN
the/DT implementation/NN in/IN this/DT very/RB
a/DT piece/NN in/IN legislation/NN that/WDT
by/IN members/NNS in/IN the/DT house/NN
the/DT purpose/NN in/IN slaughter/NN
a/DT horse/NN in/IN more/JJR than/IN
the/DT lives/NNS in/IN these/DT horses/NNS
take/VB care/NN in/IN these/DT horses/NNS
take/VB care/NN in/IN horses/NNS on/IN
humane/NN treatment/NN in/IN horses/NNS and/CC
humane/NN method/NN in/IN euthanasia/NN in/IN
in/IN euthanasia/NN in/IN disposing/VBG on/IN
best/JJS interest/NN in/IN america/NN s/VBZ
best/JJS interest/NN in/IN america/NN s/VBZ
the/DT possibility/NN in/IN having/VBG to/TO
inhumane/NN treatment/NN in/IN horses/NNS if/IN
but/CC consequences/NNS in/IN the/DT amendment/NN
the/DT foals/NNS in/IN those/DT mares/NNS
take/VB care/NN in/IN horses/NNS and/CC
have/VBP some/DT in/IN those/DT facilities/NNS
the/DT amount/NN in/IN horses/NNS they/PRP
desperate/JJ search/NN in/IN additional/JJ funding/NN
year/NN alone/RB in/IN a/DT slaughter/NN
of/IN support/NN in/IN the/DT labor/NN
the/DT needs/NNS in/IN so/RB many/JJ
the/DT war/NN in/IN terror/NN we/PRP
and/CC most/JJS in/IN us/PRP on/IN
the/DT war/NN in/IN terror/NN
the/DT decline/NN in/IN employersponsored/JJ health/NN
fortyfive/JJ percent/NN in/IN all/DT infants/NNS
the/DT least/JJS in/IN this/DT society/NN
higher/JJR levels/NNS in/IN potentially/RB carcinogenic/JJ
health/NN effects/NNS in/IN families/NNS
health/NN impacts/NNS in/IN air/NN toxics/NNS
the/DT city/NN in/IN houston/NN plans/NNS
produce/VBP many/JJ in/IN the/DT essential/JJ
on/IN spending/NN in/IN nonsecurity/JJ activities/NNS
programs/NNS including/VBG in/IN the/DT programs/NNS
the/DT state/NN in/IN florida/NN alone/RB
a/DT loss/NN in/IN over/IN students/NNS
the/DT state/NN in/IN florida/NN
recent/JJ cases/NNS in/IN bse/NN for/IN
the/DT implementation/NN in/IN the/DT law/NN
the/DT account/NN in/IN the/DT national/JJ
with/IN all/DT in/IN the/DT open/JJ
lucky/JJ because/IN in/IN that/DT
of/IN many/JJ in/IN those/DT western/JJ
a/DT legacy/NN in/IN a/DT lower/JJR
lower/JJR standard/NN in/IN living/VBG a/DT
a/DT legacy/NN in/IN more/JJR government/NN
less/JJR freedom/NN in/IN less/JJR opportunity/NN
the/DT history/NN in/IN our/PRP$ nation/NN
an/DT explosion/NN in/IN government/NN spending/NN
the/DT expense/NN in/IN american/JJ families/NNS
the/DT director/NN in/IN the/DT office/NN
discretionary/JJ savings/NNS in/IN a/DT little/JJ
achieve/VB savings/NNS in/IN roughly/RB percent/NN
a/DT limit/NN in/IN spending/NN that/IN
real/JJ leader/NN in/IN budget/NN enforcement/NN
represent/VBP part/NN in/IN that/DT over/IN
to/TO all/DT in/IN this/DT problem/NN
have/VBP had/VBN in/IN the/DT economy/NN
both/DT houses/NNS in/IN the/DT congress/NN
complete/JJ control/NN in/IN the/DT budget/NN
it/PRP allegedly/RB in/IN behalf/NN on/IN
a/DT result/NN in/IN the/DT economic/JJ
previous/JJ budgets/NNS in/IN the/DT republican/JJ
national/JJ academy/NN in/IN sciences/NNS study/NN
the/DT knowledge/NN in/IN those/DT on/IN
the/DT impact/NN in/IN this/DT new/JJ
the/DT summer/NN in/IN
large/JJ numbers/NNS in/IN the/DT american/JJ
the/DT effect/NN in/IN these/DT antidepressants/NNS
deep/JJ sense/NN in/IN depression/NN which/WDT
drug/NN got/VBD in/IN the/DT market/NN
are/VBP some/DT in/IN the/DT major/JJ
facing/VBG one/CD in/IN the/DT major/JJ
amendments/NNS later/RB in/IN on/IN the/DT
a/DT warning/NN in/IN suicide/NN
the/DT equivalent/NN in/IN two/CD to/TO
increased/VBN risk/NN in/IN heart/NN disease/NN
true/JJ regulation/NN in/IN behalf/NN in/IN
in/IN behalf/NN in/IN the/DT safety/NN
various/JJ forms/NNS in/IN medical/JJ devices/NNS
the/DT fact/NN in/IN the/DT matter/NN
large/JJ numbers/NNS in/IN teenagers/NNS young/JJ
the/DT usage/NN in/IN those/DT antidepressants/NNS
the/DT use/NN in/IN those/DT antidepressant/JJ
after/IN hundreds/NNS in/IN thousands/NNS on/IN
and/CC all/DT in/IN that/DT began/VBD
the/DT pool/NN in/IN international/JJ experts/NNS
under/IN review/NN in/IN course/NN the/DT
the/DT interest/NN in/IN the/DT public/JJ
the/DT floor/NN in/IN this/DT house/NN
and/CC security/NN in/IN a/DT particular/JJ
heard/VBN uttered/VBN in/IN the/DT floor/NN
the/DT floor/NN in/IN this/DT house/NN
national/JJ institutes/NN in/IN health/NN throughout/IN
the/DT case/NN in/IN the/DT drug/NN
who/WP is/VBZ in/IN the/DT payroll/NN
the/DT payroll/NN in/IN drug/NN companies/NNS
it/PRP onethird/VBD in/IN the/DT members/NNS
the/DT members/NNS in/IN this/DT body/NN
best/JJS interests/NNS in/IN the/DT people/NNS
the/DT people/NNS in/IN our/PRP$ nation/NN
the/DT number/NN in/IN articulation/NN agreements/NNS
only/RB percent/NN in/IN hsi/NN college/NN
continued/JJ underrepresentation/NN in/IN hispanics/NNS on/IN
important/JJ areas/NNS in/IN agriculture/NN demands/NNS
elimination/NN in/IN this/DT program/NN
the/DT citizens/NNS in/IN new/JJ jersey/NN
on/IN support/NN in/IN the/DT slaughtershaysdicksleachprice/NN
the/DT strength/NN in/IN the/DT arts/NNS
a/DT range/NN in/IN public/JJ programs/NNS
the/DT core/NN in/IN nclb/NN s/VBZ
the/DT number/NN in/IN engineering/NN students/NNS
federal/JJ share/NN in/IN special/JJ education/NN
the/DT heat/NN in/IN for/IN people/NNS
national/JJ institutes/NN in/IN health/NN nih/NN
the/DT number/NN in/IN research/NN grants/NNS
produce/VB millions/NNS in/IN good/JJ jobs/NNS
the/DT effectiveness/NN in/IN vital/JJ federal/JJ
the/DT needs/NNS in/IN the/DT many/JJ
a/DT majority/NN in/IN this/DT house/NN
the/DT height/NN in/IN fiscal/JJ irresponsibility/NN
the/DT abuse/NN in/IN our/PRP$ children/NNS
all/DT in/IN the/DT spending/NN
sound/JJ management/NN in/IN the/DT federal/JJ
other/JJ side/NN in/IN the/DT aisle/NN
republican/JJ friends/NNS in/IN the/DT labor/NN
the/DT underfunding/NN in/IN priorities/NNS on/IN
fiscal/JJ policies/NNS in/IN the/DT republican/JJ
direct/JJ consequence/NN in/IN the/DT republican/JJ
largest/JJS reduction/NN in/IN the/DT debt/NN
the/DT end/NN in/IN years/NNS this/DT
house/NN rejected/VBD in/IN November/NNP on/IN
the/DT benefits/NNS in/IN which/WDT go/VBP
getting/VBG tough/JJ in/IN spending/NN and/CC
inevitable/JJ consequence/NN in/IN the/DT most/RBS
the/DT history/NN in/IN our/PRP$ nation/NN
are/VBP pursuing/VBG in/IN policies/NNS that/WDT
than/IN years/NNS in/IN misguided/JJ policy/NN
united/VBN states/NNS in/IN america/NN
and/CC percent/NN in/IN america/NN s/VBZ
forty/JJ percent/NN in/IN our/PRP$ natural/JJ
a/DT ban/NN in/IN drilling/NN of/IN
of/IN most/JJS in/IN those/DT areas/NNS
a/DT fourth/JJ in/IN the/DT oil/NN
started/VBD serving/VBG in/IN this/DT subcommittee/NN
the/DT centers/NNS in/IN excellence/NN program/NN
not/RB because/RB in/IN a/DT natural/JJ
important/JJ statement/NN in/IN the/DT alternative/JJ
us/PRP back/RB in/IN line/NN and/CC
education/NN and/CC in/IN course/NN we/PRP
veterans/NNS those/DT in/IN us/PRP who/WP
the/DT floor/NN in/IN the/DT house/NN
direction/NN and/CC in/IN course/NN the/DT
a/DT net/NN in/IN billion/CD of/IN
the/DT intent/NN in/IN the/DT administration/NN
billion/CD out/RP in/IN medicaid/NN
studying/VBG instances/NNS in/IN waste/NN but/CC
power/NN billions/NNS in/IN constant/JJ dollars/NNS
take/VB care/NN in/IN social/JJ security/NN
the/DT needs/NNS in/IN an/DT entire/JJ
their/PRP$ record/NN in/IN education/NN and/CC
be/VB proud/JJ in/IN
the/DT greatness/NN in/IN our/PRP$ armed/JJ
lives/NNS because/IN in/IN the/DT sacrifice/NN
each/DT member/NN in/IN this/DT body/NN
negative/JJ effect/NN in/IN saving/VBG investment/NN
budget/NN surplus/NN in/IN billion/CD on/IN
the/DT children/NNS in/IN the/DT future/NN
that/WDT is/VBZ in/IN the/DT floor/NN
united/VBN states/NNS in/IN america/NN
for/IN families/NNS in/IN four/CD and/CC
are/VBP people/NNS in/IN the/DT list/NN
watt/NN xz/NN in/IN this/DT budget/NN
have/VBP reneged/VBN in/IN their/PRP$ promise/NN
needed/VBN boost/NN in/IN billion/CD to/TO
the/DT city/NN in/IN houston/NN alone/RB
people/NNS waiting/VBG in/IN a/DT list/NN
billion/CD out/RP in/IN the/DT ballistic/JJ
the/DT items/NNS in/IN support/NN for/IN
armor/NN all/DT in/IN which/WDT we/PRP
development/NN efforts/NNS in/IN nasa/NN the/DT
down/RP more/RBR in/IN the/DT national/JJ
on/IN need/NN in/IN a/DT thorough/JJ
thank/VB all/DT in/IN the/DT members/NNS
of/IN need/NN in/IN a/DT thorough/JJ
a/DT member/NN in/IN the/DT save/VB
strong/JJ support/NN in/IN full/JJ funding/NN
full/JJ funding/NN in/IN the/DT community/NN
economic/JJ strength/NN in/IN our/PRP$ urban/JJ
strong/JJ support/NN in/IN this/DT amendment/NN
better/JJR job/NN in/IN educating/VBG our/PRP$
a/DT nation/NN in/IN poor/JJ spirit/NN
the/DT budget/NN in/IN the/DT nea/NN
job/NN now/RB in/IN strengthening/VBG public/JJ
arts/NNS education/NN in/IN strengthening/VBG arts/NNS
the/DT economies/NNS in/IN not/RB only/RB
connecticut/NN commission/NN in/IN the/DT arts/NNS
higher/JJR order/NN in/IN thinking/VBG schools/NNS
spiritual/JJ strength/NN in/IN this/DT nation/NN
the/DT strength/NN in/IN its/PRP$ economy/NN
and/CC wellbeing/NN in/IN our/PRP$ children/NNS
rivers/NNS one/CD in/IN which/WDT is/VBZ
the/DT support/NN in/IN these/DT two/CD
of/IN page/NN in/IN the/DT report/NN
the/DT throes/NNS in/IN more/JJR than/IN
downtown/NN wilkesbarre/NN in/IN the/DT waterfront/NN
can/MD work/VB in/IN water/NN quality/NN
that/DT area/NN in/IN the/DT susquehanna/NN
with/IN members/NNS in/IN the/DT new/JJ
related/JJ agencies/NNS in/IN the/DT committee/NN
and/CC all/DT in/IN the/DT responsibilities/NNS
seen/VBN cuts/NNS in/IN million/CD or/CC
rapid/JJ rise/NN in/IN farmers/NNS markets/NNS
us/PRP department/NN in/IN agriculture/NN where/WRB
realize/VBP some/DT in/IN that/DT income/NN
the/DT help/NN in/IN the/DT gentleman/NN
the/DT spread/NN in/IN this/DT insect/NN
rapid/JJ growth/NN in/IN invasive/JJ species/NNS
home/NN state/NN in/IN minnesota/NN we/PRP
one/CD in/IN the/DT few/JJ
the/DT threat/NN in/IN aquatic/JJ invasive/JJ
the/DT work/NN in/IN the/DT chairman/NN
the/DT billions/NNS in/IN dollars/NNS of/IN
the/DT spread/NN in/IN these/DT aquatic/JJ
the/DT kinds/NNS in/IN resources/NNS that/WDT
the/DT back/NN in/IN the/DT bus/NN
the/DT history/NN in/IN this/DT country/NN
in/IN the/DT war/NN
substitute/NN focuses/VBZ in/IN the/DT cbc/NN
most/RBS in/IN the/DT revenue/NN
a/DT reduction/NN in/IN billion/CD on/IN
to/TO depend/VB in/IN the/DT department/NN
programs/NNS because/IN in/IN the/DT republicanled/JJ
continued/VBD insistence/NN in/IN large/JJ additional/JJ
the/DT cost/NN in/IN a/DT year/NN
federal/JJ share/NN in/IN special/JJ education/NN
the/DT needs/NNS in/IN americans/NNS
is/VBZ one/CD in/IN these/DT moments/NNS
budget/NN instead/RB in/IN a/DT year/NN
the/DT costs/NNS in/IN their/PRP$ budget/NN
next/JJ couple/NN in/IN days/NNS during/IN
consecutive/JJ years/NNS in/IN budget/NN surpluses/NNS
us/PRP years/NNS in/IN budget/NN surpluses/NNS
is/VBZ kind/RB in/IN tough/JJ to/TO
is/VBZ fond/JJ in/IN
probably/RB one/CD in/IN the/DT reasons/NNS
the/DT condition/NN in/IN education/NN or/CC
to/TO years/NNS in/IN budget/NN surpluses/NNS
a/DT member/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN education/NN and/CC
someplace/NN else/RB in/IN the/DT globe/NN
renewed/VBN all/DT in/IN those/DT things/NNS
the/DT size/NN in/IN that/DT pie/NN
the/DT law/NN in/IN supply/NN and/CC
there/EX is/VBZ in/IN course/NN the/DT
relative/JJ costs/NNS in/IN energy/NN will/MD
the/DT price/NN in/IN energy/NN
the/DT cost/NN in/IN natural/JJ gas/NN
additional/JJ price/NN in/IN virtually/RB everything/NN
on/IN favor/NN in/IN the/DT peterson/NN
year/NN moratoria/NN in/IN natural/JJ gas/NN
demanding/VBG use/NN in/IN natural/JJ gas/NN
per/IN acre/NN in/IN corn/NN harvested/VBD
the/DT fuel/NN in/IN choice/NN for/IN
on/IN favor/NN in/IN the/DT peterson/NN
the/DT perspective/NN in/IN what/WP is/VBZ
on/IN front/NN in/IN our/PRP$ horse/NN
amendment/NN one/CD in/IN the/DT questions/NNS
other/JJ places/NNS in/IN the/DT world/NN
and/CC months/NNS in/IN discussion/NN and/CC
on/IN some/DT in/IN the/DT other/JJ
who/WP put/VBP in/IN the/DT rose/NN
my/PRP$ hope/NN in/IN these/DT programs/NNS
end/NN because/IN in/IN the/DT legislative/JJ
bigger/JJR picture/NN in/IN things/NNS you/PRP
economic/JJ realities/NNS in/IN today/NN with/IN
of/IN suppor/NN in/IN mrs/NNS delauro/NN
strike/VB part/NN in/IN section/NN in/IN
in/IN section/NN in/IN title/NN vii/NN
title/NN vii/NN in/IN the/DT agriculture/NN
the/DT construction/NN in/IN the/DT western/JJ
report/NN and/CC in/IN the/DT budget/NN
the/DT department/NN in/IN homeland/NN security/NN
the/DT areas/NNS in/IN education/NN and/CC
economic/JJ impact/NN in/IN our/PRP$ nation/NN
centers/NNS rely/VBP in/IN to/TO recruit/VB
a/DT shortage/NN in/IN professional/JJ health/NN
lowest/JJS level/NN in/IN funding/NN for/IN
we/PRP voted/VBD in/IN this/DT bill/NN
specific/JJ aspects/NNS in/IN this/DT bill/NN
national/JJ institute/NN in/IN health/NN nih/NN
health/NN needs/VBZ in/IN americans/NNS
potential/JJ problem/NN in/IN soybean/NN rust/NN
the/DT potential/NN in/IN conflict/NN in/IN
in/IN conflict/NN in/IN interest/NN due/JJ
depriving/VBG itself/PRP in/IN much/RB on/IN
they/PRP went/VBD in/IN to/TO say/VB
inappropriate/JJ conflicts/NNS in/IN interest/NN and/CC
representing/VBG one/CD in/IN the/DT largest/JJS
