of/IN matters/NNS on/IN constitutionality/NN
the/DT lack/NN on/IN interior/JJ enforcement/NN
that/WDT members/NNS on/IN al/JJ qaeda/NN
who/WP is/VBZ on/IN their/PRP$ country/NN
suspected/VBN terrorists/NNS on/IN order/NN to/TO
is/VBZ one/CD on/IN the/DT foundations/NNS
our/PRP$ system/NN on/IN jurisprudence/NN that/IN
the/DT basis/NN on/IN credibility/NN or/CC
or/CC lack/NN on/IN credibility/NN in/IN
noted/VBD some/DT on/IN the/DT provisions/NNS
x/SYM jurisdiction/NN on/IN the/DT committee/NN
forgo/VB consideration/NN on/IN the/DT bill/NN
its/PRP$ consideration/NN on/IN the/DT bill/NN
a/DT copy/NN on/IN your/PRP$ letter/NN
during/IN consideration/NN on/IN hr/NN in/IN
the/DT jurisdiction/NN on/IN the/DT committee/NN
rule/NN x/SYM on/IN the/DT rules/NNS
on/IN addition/NN the/DT
any/DT provisions/NNS on/IN the/DT bill/NN
distinguished/JJ chairman/NN on/IN the/DT subcommittee/NN
the/DT time/NN on/IN it/PRP would/MD
the/DT date/NN on/IN their/PRP$ visa/NN
ring/NN leader/NN on/IN murderers/NNS entered/VBD
the/DT state/NN on/IN florida/NN in/IN
first/RB on/IN all/DT it/PRP
the/DT burden/NN on/IN proof/NN is/VBZ
the/DT burden/NN on/IN proof/NN is/VBZ
any/DT type/NN on/IN proceeding/NN
the/DT meaning/NN on/IN the/DT law/NN
the/DT trier/NN on/IN the/DT fact/NN
a/DT jury/NN on/IN any/DT other/JJ
the/DT request/NN on/IN the/DT committee/NN
our/PRP$ side/NN on/IN the/DT border/NN
every/DT trier/NN on/IN fact/NN of/IN
the/DT credibility/NN on/IN witnesses/NNS
their/PRP$ determination/NN on/IN the/DT credibility/NN
the/DT credibility/NN on/IN the/DT witnesses/NNS
its/PRP$ determinations/NNS on/IN credibility/NN certainly/RB
the/DT burden/NN on/IN proof/NN is/VBZ
and/CC one/CD on/IN the/DT biggest/JJS
biggest/JJS supporters/NNS on/IN governor/NN schwarzenegger/NN
the/DT beginning/NN on/IN the/DT debate/NN
the/DT notion/NN on/IN federalism/NN that/WDT
to/TO consideration/NN on/IN the/DT rule/NN
join/VB me/PRP on/IN voting/VBG no/DT
by/IN direction/NN on/IN the/DT committee/NN
the/DT cost/NN on/IN complying/VBG with/IN
american/JJ association/NN on/IN motor/NN vehicle/NN
the/DT process/NN on/IN changing/VBG due/JJ
legislation/NN enacted/VBN on/IN December/NNP
the/DT requirements/NNS on/IN this/DT bill/NN
local/JJ governments/NNS on/IN addition/NN to/TO
as/IN defined/VBN on/IN umra/NN
are/VBP aware/JJ on/IN and/CC that/IN
the/DT jurisdiction/NN on/IN these/DT states/NNS
the/DT needs/NNS on/IN this/DT great/JJ
in/IN rules/NNS on/IN a/DT meeting/NN
or/CC some/DT on/IN the/DT implications/NNS
minority/NN member/NN on/IN the/DT committee/NN
minority/NN member/NN on/IN the/DT committee/NN
the/DT wake/NN on/IN the/DT tragedy/NN
the/DT tragedy/NN on/IN September/NNP that/IN
the/DT consideration/NN on/IN the/DT real/JJ
id/JJ act/NN on/IN which/WDT has/VBZ
the/DT case/NN on/IN the/DT blind/JJ
to/TO stay/VB on/IN the/DT united/VBN
for/IN consideration/NN on/IN possible/JJ amendments/NNS
encourage/VB all/DT on/IN my/PRP$ colleagues/NNS
new/JJ members/NNS on/IN the/DT committee/NN
dimas/NNS chairman/NN on/IN the/DT committee/NN
the/DT balance/NN on/IN my/PRP$ time/NN
part/NN a/DT on/IN the/DT committee/NN
the/DT committee/NN on/IN the/DT whole/JJ
the/DT purpose/NN on/IN further/JJ amendment/NN
prevent/VB abuses/NNS on/IN the/DT system/NN
system/NN like/IN on/IN the/DT case/NN
to/TO stay/VB on/IN the/DT united/VBN
trade/NN center/NN on/IN
everybody/NN is/VBZ on/IN agreement/NN about/IN
and/CC acquired/VBN on/IN the/DT previous/JJ
mr/NN chairman/NN on/IN August/NNP the/DT
bipartisan/JJ chairman/NN on/IN the/DT commission/NN
effective/JJ enforcement/NN on/IN immigration/NN laws/NNS
again/RB here/RB on/IN america/NN
security/NN function/NN on/IN our/PRP$ legal/JJ
percent/NN repatriation/NN on/IN all/DT aliens/NNS
homeland/NN security/NN on/IN the/DT prior/JJ
and/CC sources/NNS on/IN identification/NN such/JJ
very/RB best/RB on/IN his/PRP$ maiden/JJ
up/IN front/NN on/IN the/DT fiscal/JJ
i/FW rise/NN on/IN strong/JJ support/NN
strong/JJ support/NN on/IN the/DT nadler/NN
my/PRP$ side/NN on/IN the/DT aisle/NN
join/VB us/PRP on/IN striking/JJ section/NN
the/DT government/NN on/IN the/DT people/NNS
s/VBZ republic/NN on/IN china/NN that/IN
verbal/JJ support/NN on/IN their/PRP$ program/NN
goodhousekeeping/NN seal/NN on/IN approval/NN to/TO
July/NNP secretary/NN on/IN state/NN powell/NN
prc/NN has/VBZ on/IN place/NN a/DT
the/DT department/NN on/IN homeland/NN security/NN
the/DT use/NN on/IN delivery/NN bonds/NNS
enforcement/NN officials/NNS on/IN critical/JJ information/NN
in/IN victims/NNS on/IN sex/NN trafficking/NN
sex/NN trafficking/NN on/IN the/DT name/NN
on/IN fact/NN i/FW
us/PRP house/NN on/IN representatives/NNS of/IN
oppressed/JJ people/NNS on/IN this/DT world/NN
in/IN behalf/NN on/IN americans/NNS who/WP
probably/RB one/CD on/IN the/DT most/RBS
vote/VB in/IN on/IN the/DT th/NN
the/DT pleas/NNS on/IN the/DT many/JJ
urge/NN members/NNS on/IN congress/NN to/TO
a/DT matter/NN on/IN fact/NN a/DT
was/VBD one/CD on/IN the/DT first/JJ
people/NNS already/RB on/IN the/DT united/VBN
the/DT department/NN on/IN homeland/NN security/NN
the/DT people/NNS on/IN this/DT country/NN
the/DT possibility/NN on/IN socalled/JJ ghost/NN
partisanship/NN and/CC on/IN fact/NN the/DT
fact/NN that/IN on/IN fact/NN when/WRB
the/DT house/NN on/IN representatives/NNS and/CC
our/PRP$ responsibility/NN on/IN oversight/NN in/IN
huge/JJ sums/NNS on/IN money/NN it/PRP
do/VB now/RB on/IN a/DT bipartisan/JJ
issue/NN once/RB on/IN June/NNP on/IN
on/IN June/NNP on/IN at/IN a/DT
currently/RB exist/VBP on/IN issuing/VBG driver/NN
a/DT tool/NN on/IN committing/VBG terrorist/JJ
on/IN fact/NN as/IN
that/DT lack/NN on/IN information/NN is/VBZ
s/VBZ policy/NN on/IN iraq/NN i/FW
extraordinary/JJ group/NN on/IN iraqi/JJ women/NNS
several/JJ industries/NNS on/IN colorado/NN are/VBP
and/CC some/DT on/IN the/DT winter/NN
for/IN many/JJ on/IN them/PRP to/TO
the/DT provisions/NNS on/IN the/DT conference/NN
this/DT foundation/NN on/IN the/DT future/NN
the/DT authority/NN on/IN states/NNS and/CC
have/VBP arisen/VBN on/IN the/DT wake/NN
the/DT wake/NN on/IN a/DT recent/JJ
nonresident/JJ hunting/NN on/IN bull/NN elk/NN
had/VBD enough/RB on/IN an/DT effect/NN
commerce/NN clause/NN on/IN the/DT constitution/NN
legitimate/JJ interests/NNS on/IN conserving/VBG its/PRP$
its/PRP$ population/NN on/IN game/NN and/CC
namely/RB those/DT on/IN alaska/NN arizona/NN
the/DT thinking/NN on/IN federal/JJ courts/NNS
any/DT authority/NN on/IN any/DT indian/JJ
the/DT authority/NN on/IN the/DT federal/JJ
any/DT portion/NN on/IN the/DT federal/JJ
units/NNS and/CC on/IN some/DT other/JJ
other/JJ parts/NNS on/IN the/DT federal/JJ
the/DT protection/NN on/IN fish/NN or/CC
it/PRP be/VB on/IN an/DT authorization/NN
year/NN or/CC on/IN the/DT omnibus/JJ
bill/NN or/CC on/IN the/DT president/NN
and/CC most/JJS on/IN these/DT contracts/NNS
the/DT department/NN on/IN state/NN would/MD
small/JJ businesses/NNS on/IN our/PRP$ nation/NN
license/NN requirements/NNS on/IN hr/NN
actual/JJ findings/NNS on/IN field/NN reports/NNS
projected/VBN cost/NN on/IN the/DT reconstruction/NN
many/JJ members/NNS on/IN the/DT royal/JJ
an/DT enemy/NN on/IN the/DT war/NN
the/DT jurisdiction/NN on/IN the/DT subcommittee/NN
program/NN expenses/NNS on/IN iraq/NN
the/DT embassy/NN on/IN iraq/JJ people/NNS
the/DT embassy/NN on/IN iraq/NN
and/CC keep/VB on/IN mind/NN osama/NN
laden/JJ lived/VBN on/IN sudan/NN from/IN
taking/VBG place/NN on/IN darfur/NN
good/JJ work/NN on/IN this/DT administration/NN
the/DT bombings/NNS on/IN nairobi/NN and/CC
the/DT improvement/NN on/IN the/DT united/VBN
our/PRP$ troops/NNS on/IN the/DT field/NN
hundreds/NNS on/IN lives/NNS could/MD
brave/VBP troops/NNS on/IN the/DT field/NN
lifesaving/VBG potential/NN on/IN their/PRP$ work/NN
this/DT section/NN on/IN the/DT bill/NN
the/DT subject/NN on/IN accountability/NN there/EX
the/DT chairman/NN on/IN the/DT committee/NN
living/VBG today/NN on/IN this/DT war/NN
both/DT sides/NNS on/IN the/DT aisle/NN
a/DT number/NN on/IN improvements/NNS that/WDT
and/CC women/NNS on/IN our/PRP$ armed/JJ
the/DT line/NN on/IN defense/NN in/IN
and/CC considered/VBN on/IN a/DT fair/JJ
when/WRB those/DT on/IN us/PRP in/IN
i/FW hope/NN on/IN the/DT future/NN
of/IN terrorism/NN on/IN the/DT federal/JJ
the/DT event/NN on/IN her/PRP$ death/NN
officers/NNS association/NN on/IN america/NN moaa/NN
as/IN included/VBN on/IN the/DT appropriations/NNS
a/DT consortium/NN on/IN nationally/RB prominent/JJ
s/VBZ markup/NN on/IN the/DT fy/NN
the/DT methods/NNS on/IN awarding/VBG them/PRP
that/WDT is/VBZ on/IN interstate/JJ commerce/NN
a/DT member/NN on/IN the/DT aviation/NN
s/VBZ war/NN on/IN iraq/NN of/IN
the/DT families/NNS on/IN those/DT who/WP
tentative/JJ gains/NNS on/IN israel/NN and/CC
the/DT peoples/NNS on/IN other/JJ nations/NNS
in/IN justice/NN on/IN this/DT bill/NN
of/IN this/DT on/IN the/DT house/NN
the/DT risk/NN on/IN a/DT huge/JJ
legal/JJ rights/NNS on/IN individuals/NNS
the/DT lives/NNS on/IN every/DT american/NN
s/VBZ signature/NN on/IN this/DT first/JJ
the/DT members/NNS on/IN fact/NN who/WP
this/DT early/JJ on/IN this/DT congress/NN
the/DT process/NN on/IN attacking/VBG this/DT
like/IN this/DT on/IN the/DT last/JJ
about/IN one/CD on/IN the/DT classes/NNS
the/DT people/NNS on/IN the/DT class/NN
the/DT people/NNS on/IN the/DT class/NN
chief/JJ sponsor/NN on/IN the/DT bill/NN
the/DT brink/NN on/IN achieving/VBG
to/TO act/VB on/IN advance/NN on/IN
on/IN advance/NN on/IN our/PRP$ action/NN
in/IN behalf/NN on/IN a/DT proposed/VBN
on/IN addition/NN a/DT
if/IN all/DT on/IN the/DT claims/NNS
arise/VB out/RP on/IN an/DT event/NN
that/WDT happened/VBD on/IN the/DT state/NN
that/WDT resulted/VBD on/IN injuries/NNS only/RB
injuries/NNS only/RB on/IN that/DT state/NN
of/IN behalf/NN on/IN the/DT general/JJ
of/IN behalf/NN on/IN the/DT same/JJ
the/DT nature/NN on/IN the/DT debate/NN
is/VBZ unprecedented/JJ on/IN its/PRP$ scope/NN
and/CC stunning/JJ on/IN its/PRP$ breadth/NN
in/IN millions/NNS on/IN americans/NNS harmed/VBN
national/JJ council/NN on/IN state/NN legislatures/NNS
consumers/NNS federation/NN on/IN america/NN the/DT
the/DT advancement/NN on/IN colored/VBN people/NNS
american/JJ federation/NN on/IN laborcongress/NN in/IN
real/JJ abuses/NNS on/IN the/DT system/NN
significant/JJ rollback/NN on/IN corporate/JJ accountability/NN
a/DT member/NN on/IN the/DT committee/NN
of/IN victims/NNS on/IN largescale/JJ personal/JJ
with/IN us/PRP on/IN the/DT house/NN
the/DT house/NN on/IN representatives/NNS to/TO
the/DT basis/NN on/IN ancestry/NN or/CC
or/CC place/NN on/IN birth/NN or/CC
fairness/NN act/NN on/IN this/DT bill/NN
hazards/NNS involved/VBN on/IN class/NN action/NN
state/NN statutes/NNS on/IN the/DT state/NN
best/JJS way/NN on/IN fairly/RB resolving/VBG
together/RB however/RB on/IN a/DT bipartisan/JJ
every/DT state/NN on/IN the/DT union/NN
distinguished/JJ member/NN on/IN the/DT committee/NN
the/DT goal/NN on/IN the/DT bill/NN
action/NN legislation/NN on/IN the/DT past/NN
the/DT guise/NN on/IN deregulation/NN we/PRP
wholesale/JJ dismantling/VBG on/IN health/NN and/CC
in/IN concentration/NN on/IN ownership/NN within/IN
a/DT series/NN on/IN assaults/NNS of/IN
by/IN direction/NN on/IN the/DT committee/NN
both/DT sides/NNS on/IN the/DT aisle/NN
to/TO vote/VB on/IN favor/NN in/IN
state/NN courts/NNS on/IN connecticut/NN delaware/NN
actions/NNS filed/VBN on/IN those/DT respective/JJ
former/JJ member/NN on/IN the/DT committee/NN
an/DT amendment/NN on/IN order/NN of/IN
the/DT form/NN on/IN a/DT substitute/NN
th/NN congress/NN on/IN the/DT th/NN
th/NN congress/NN on/IN the/DT th/NN
on/IN response/NN to/TO
for/IN years/NNS on/IN the/DT committee/NN
original/JJ cosponsor/NN on/IN hr/NN
and/CC understanding/NN on/IN the/DT committee/NN
the/DT chairman/NN on/IN the/DT committee/NN
the/DT intent/NN on/IN the/DT sponsors/NNS
the/DT burden/NN on/IN demonstrating/VBG that/IN
a/DT member/NN on/IN the/DT committee/NN
democratic/JJ side/NN on/IN the/DT senate/NN
a/DT number/NN on/IN the/DT folks/NNS
because/IN all/DT on/IN those/DT were/VBD
action/NN wheel/NN on/IN fortune/NN in/IN
the/DT chamber/NN on/IN commerce/NN is/VBZ
the/DT light/NN on/IN day/NN in/IN
this/DT and/CC on/IN us/PRP
instead/RB on/IN narrowly/RB focusing/VBG
real/JJ abuses/NNS on/IN the/DT system/NN
the/DT doors/NNS on/IN the/DT courthouse/NN
it/PRP is/VBZ on/IN this/DT light/NN
allows/VBZ consideration/NN on/IN the/DT democratic/JJ
was/VBD ruled/VBN on/IN order/NN by/IN
ranking/JJ member/NN on/IN the/DT judiciary/NN
diversity/NN jurisdiction/NN on/IN the/DT federal/JJ
a/DT company/NN on/IN your/PRP$ local/JJ
the/DT value/NN on/IN the/DT coupons/NNS
the/DT number/NN on/IN hours/NNS actually/RB
the/DT head/NN on/IN the/DT agency/NN
no/DT likelihood/NN on/IN actually/RB putting/VBG
most/RBS critical/JJ on/IN all/DT consumer/NN
practical/JJ effect/NN on/IN the/DT change/NN
be/VB positive/JJ on/IN general/JJ for/IN
big/JJ proponent/NN on/IN this/DT type/NN
this/DT type/NN on/IN legislation/NN so/IN
in/IN awards/NNS on/IN asbestos/NN cases/NNS
painandsuffering/VBG awards/NNS on/IN medical/JJ malpractice/NN
may/MD engage/VB on/IN securities/NNS transactions/NNS
securities/NNS transactions/NNS on/IN a/DT manner/NN
on/IN addition/NN exchange/NN
an/DT investment/NN on/IN a/DT foreign/JJ
a/DT store/NN on/IN massachusetts/NNS because/IN
ancestry/NN place/NN on/IN birth/NN or/CC
bill/NN except/IN on/IN very/RB rare/JJ
court/NN instead/RB on/IN state/NN court/NN
a/DT violation/NN on/IN state/NN law/NN
attorneys/NNS general/JJ on/IN california/NN illinois/NNS
are/VBP writing/VBG on/IN opposition/NN to/TO
private/JJ individuals/NNS on/IN state/NN court/NN
below/IN many/JJ on/IN these/DT cases/NNS
the/DT availability/NN on/IN the/DT class/NN
these/DT times/NNS on/IN tightening/VBG state/NN
prosecute/VB violations/NNS on/IN state/NN consumer/NN
this/DT legislation/NN on/IN its/PRP$ present/JJ
only/RB residents/NNS on/IN those/DT states/NNS
in/RP behalf/NN on/IN the/DT residents/NNS
underlying/VBG claims/NNS on/IN the/DT case/NN
the/DT laws/NNS on/IN more/JJR than/IN
these/DT types/NNS on/IN actions/NNS
authority/NN may/MD on/IN some/DT circumstances/NNS
of/IN behalf/NN on/IN the/DT undersigned/VBN
the/DT basis/NN on/IN disability/NN
the/DT basis/NN on/IN ancestry/NN or/CC
deputy/NN director/NN on/IN the/DT leadership/NN
xz/NN was/VBD on/IN otherwise/RB excellent/JJ
she/PRP died/VBD on/IN a/DT sudden/JJ
very/JJ day/NN on/IN September/NNP that/WDT
and/CC president/NN on/IN the/DT athletic/JJ
of/IN behalf/NN on/IN the/DT national/JJ
national/JJ conference/NN on/IN state/NN legislatures/NNS
fairness/NN act/NN on/IN this/DT legislation/NN
state/NN laws/NNS on/IN the/DT areas/NNS
the/DT areas/NNS on/IN consumer/NN protection/NN
be/VB heard/VBN on/IN state/NN courts/NNS
hazards/NNS involved/VBN on/IN class/NN action/NN
on/IN such/JJ cases/NNS
action/NN lawsuit/NN on/IN state/NN court/NN
law/NN doctrines/NNS on/IN negligence/NN nuisance/NN
gas/NN companies/NNS on/IN many/JJ in/IN
for/IN example/NN on/IN at/IN least/JJS
a/DT couple/NN on/IN times/NNS to/TO
the/DT ability/NN on/IN corporations/NNS settling/VBG
a/DT condition/NN on/IN the/DT settlement/NN
the/DT principles/NNS on/IN federalism/NN that/IN
other/JJ side/NN on/IN the/DT aisle/NN
merck/NN knew/VBD on/IN the/DT danger/NN
high/JJ cost/NN on/IN multistate/NN litigation/NN
some/DT kind/NN on/IN choice/NN
only/RB members/NNS on/IN their/PRP$ state/NN
a/DT lot/NN on/IN other/JJ people/NNS
judgments/NNS reflected/VBD on/IN the/DT act/NN
together/RB however/RB on/IN a/DT bipartisan/JJ
in/IN behalf/NN on/IN his/PRP$ or/CC
the/DT cusp/NN on/IN sending/VBG landmark/NN
of/IN each/DT on/IN the/DT last/JJ
overwhelming/JJ majority/NN on/IN votes/NNS
the/DT managers/NNS on/IN the/DT bill/NN
of/IN behalf/NN on/IN the/DT same/JJ
been/VBN filed/VBN on/IN the/DT last/JJ
of/IN behalf/NN on/IN the/DT same/JJ
of/IN behalf/NN on/IN the/DT same/JJ
the/DT intent/NN on/IN these/DT provisions/NNS
and/CC governance/NN on/IN business/NN enterprises/NNS
in/RP behalf/NN on/IN numerous/JJ named/VBN
common/JJ questions/NNS on/IN law/NN or/CC
arise/VB out/RP on/IN an/DT event/NN
or/CC occurrence/NN on/IN the/DT state/NN
were/VBD incurred/VBN on/IN that/DT state/NN
in/IN behalf/NN on/IN individual/JJ claimants/NNS
or/CC members/NNS on/IN a/DT purported/JJ
of/IN behalf/NN on/IN the/DT general/JJ
as/IN defined/VBN on/IN subsection/NN d/SYM
the/DT authority/NN on/IN the/DT judicial/JJ
in/IN behalf/NN on/IN the/DT same/JJ
the/DT exercise/NN on/IN federal/JJ jurisdiction/NN
of/IN terms/NNS on/IN seeking/VBG significant/JJ
their/PRP$ day/NN on/IN court/NN and/CC
bipartisan/JJ majorities/NNS on/IN the/DT other/JJ
one/CD element/NN on/IN the/DT substitute/NN
of/IN behalf/NN on/IN the/DT state/NN
will/MD be/VB on/IN no/DT way/NN
pryor/NN amendment/NN on/IN the/DT other/JJ
senate/NN amendments/NNS on/IN the/DT other/JJ
the/DT chairman/NN on/IN the/DT committee/NN
or/CC death/NN on/IN a/DT loved/VBN
of/IN each/DT on/IN those/DT occasions/NNS
but/CC because/RB on/IN my/PRP$ judgment/NN
coherent/JJ description/NN on/IN the/DT class/NN
absolute/JJ number/NN on/IN the/DT plaintiff/NN
magic/JJ number/NN on/IN plaintiffs/NNS are/VBP
a/DT perspective/NN on/IN someone/NN of/IN
those/DT on/IN us/PRP who/WP
on/IN those/DT cases/NNS
every/DT one/CD on/IN them/PRP in/IN
the/DT wheel/NN on/IN rhetoric/NN actually/RB
and/CC women/NNS on/IN a/DT community/NN
other/JJ side/NN on/IN blaming/VBG average/JJ
on/IN every/DT one/CD
the/DT wheel/NN on/IN rhetoric/NN that/IN
took/VBD cases/NNS on/IN people/NNS who/WP
the/DT costs/NNS on/IN litigation/NN of/IN
the/DT desk/NN on/IN the/DT president/NN
have/VBP parents/NNS on/IN children/NNS with/IN
and/CC woman/NN on/IN this/DT country/NN
addresses/VBZ several/JJ on/IN the/DT concerns/NNS
work/VB hard/RB on/IN all/DT in/IN
as/IN members/NNS on/IN the/DT committee/NN
also/RB serving/VBG on/IN the/DT very/RB
minority/NN member/NN on/IN the/DT committee/NN
this/DT yesterday/NN on/IN the/DT committee/NN
the/DT director/NN on/IN the/DT office/NN
the/DT war/NN on/IN iraq/NN with/IN
the/DT reach/NN on/IN the/DT federal/JJ
responsibly/RB reining/VBG on/IN federal/JJ spending/NN
the/DT debates/NNS on/IN and/CC then/RB
and/CC then/RB on/IN and/CC and/CC
the/DT issue/NN on/IN tax/NN cuts/NNS
other/JJ side/NN on/IN the/DT aisle/NN
know/VBP most/RBS on/IN my/PRP$ colleagues/NNS
year/NN because/IN on/IN the/DT economic/JJ
treasury/NN because/IN on/IN the/DT tax/NN
capital/NN gains/NNS on/IN the/DT early/JJ
are/VBP critical/JJ on/IN the/DT president/NN
national/JJ security/NN on/IN the/DT united/VBN
was/VBD left/VBN on/IN their/PRP$ private/JJ
you/PRP believe/VBP on/IN privatizing/VBG social/JJ
the/DT solvency/NN on/IN social/JJ security/NN
any/DT diversion/NN on/IN these/DT funds/NNS
the/DT text/NN on/IN the/DT amendment/NN
the/DT point/NN on/IN order/NN that/IN
dollars/NNS now/RB on/IN course/NN given/VBN
radical/JJ overhaul/NN on/IN social/JJ security/NN
accounts/NNS resulting/VBG on/IN either/DT massive/JJ
a/DT lot/NN on/IN explaining/VBG to/TO
to/TO do/VB on/IN my/PRP$ opinion/NN
the/DT preservation/NN on/IN social/JJ security/NN
but/CC not/RB on/IN ways/NNS that/WDT
by/IN direction/NN on/IN the/DT committee/NN
for/IN hours/NNS on/IN general/JJ debate/NN
minority/NN member/NN on/IN the/DT committee/NN
the/DT chairman/NN on/IN the/DT committee/NN
my/PRP$ time/NN on/IN this/DT body/NN
unconventional/JJ threats/NNS on/IN the/DT future/NN
that/WDT sets/VBZ on/IN motion/NN a/DT
the/DT deficit/NN on/IN half/NN both/DT
a/DT percentage/NN on/IN gross/JJ domestic/JJ
domestic/JJ product/NN on/IN years/NNS
the/DT concern/NN on/IN the/DT ranking/JJ
and/CC means/VBZ on/IN regard/NN to/TO
the/DT order/NN on/IN the/DT day/NN
that/DT year/NN on/IN insolvency/NN
take/VB care/NN on/IN that/DT firstyear/JJ
those/DT savings/NNS on/IN a/DT variety/NN
on/IN fact/NN it/PRP
priorities/NNS priorities/NNS on/IN government/NN priorities/NNS
households/NNS priorities/NNS on/IN our/PRP$ individual/JJ
mandatory/JJ side/NN on/IN spending/NN discretionary/JJ
a/DT third/JJ on/IN the/DT budget/NN
the/DT manner/NN on/IN which/WDT we/PRP
an/DT understanding/NN on/IN an/DT issue/NN
minority/NN member/NN on/IN the/DT committee/NN
daily/JJ order/NN on/IN business/NN under/IN
under/IN clause/NN on/IN rule/NN xiv/NN
the/DT committee/NN on/IN the/DT whole/NN
the/DT balance/NN on/IN my/PRP$ time/NN
tax/NN burdens/NNS on/IN working/VBG americans/NNS
the/DT billion/CD on/IN because/IN it/PRP
help/VB us/PRP on/IN resolving/VBG this/DT
the/DT help/NN on/IN the/DT gentleman/NN
fifty/CD cents/NNS on/IN it/PRP will/MD
true/JJ cost/NN on/IN their/PRP$ plans/NNS
financial/JJ viability/NN on/IN our/PRP$ nation/NN
the/DT end/NN on/IN this/DT debate/NN
other/JJ side/NN on/IN the/DT aisle/NN
retirement/NN security/NN on/IN every/DT american/NN
alternate/JJ nights/NNS on/IN english/NN and/CC
anybody/NN else/RB on/IN the/DT region/NN
that/WDT traditionally/RB on/IN this/DT country/NN
great/JJ election/NN on/IN iraq/NN where/WRB
for/IN you/PRP on/IN lebanon/NN without/IN
on/IN iraq/NN of/IN
the/DT verge/NN on/IN bankruptcy/NN
all/DT is/VBZ on/IN keeping/VBG with/IN
post/NN approach/NN on/IN forcing/VBG terrorists/NNS
the/DT work/NN on/IN the/DT subcommittee/NN
is/VBZ one/CD on/IN the/DT alternative/JJ
working/VBG people/NNS on/IN this/DT country/NN
most/RBS vulnerable/JJ on/IN our/PRP$ society/NN
the/DT burden/NN on/IN our/PRP$ fiscal/JJ
to/TO participate/VB on/IN agricultural/JJ programs/NNS
both/DT sides/NNS on/IN the/DT aisle/NN
the/DT origin/NN on/IN their/PRP$ product/NN
the/DT country/NN on/IN origin/NN makes/VBZ
the/DT marketing/NN on/IN these/DT products/NNS
time/NN staying/VBG on/IN business/NN anyway/RB
i/FW rise/NN on/IN opposition/NN to/TO
both/DT sides/NNS on/IN the/DT issue/NN
the/DT best/JJS on/IN intentions/NNS and/CC
the/DT results/NNS on/IN this/DT corrupt/JJ
the/DT payroll/NN on/IN these/DT companies/NNS
i/FW rise/NN on/IN support/NN on/IN
on/IN support/NN on/IN the/DT cbc/NN
we/PRP made/VBD on/IN the/DT farm/NN
environmental/JJ priorities/NNS on/IN america/NN
to/TO invest/VB on/IN the/DT arts/NNS
on/IN the/DT year/NN
eliminates/VBZ many/JJ on/IN the/DT safety/NN
a/DT reduction/NN on/IN percent/NN below/IN
tough/JJ things/NNS on/IN discretionary/JJ spending/NN
martha/JJ foley/NN on/IN the/DT minority/NN
to/TO consumers/NNS on/IN terms/NNS in/IN
pulling/VBG up/RP on/IN the/DT back/NN
and/CC all/DT on/IN the/DT research/NN
and/CC all/DT on/IN the/DT hard/JJ
the/DT quality/NN on/IN life/NN that/IN
as/IN part/NN on/IN the/DT agreement/NN
the/DT chairman/NN on/IN the/DT committee/NN
basis/NN here/RB on/IN washington/NN
would/MD rise/VB on/IN strong/JJ opposition/NN
a/DT liability/NN on/IN the/DT countryoforigin/NN
that/DT would/MD on/IN essence/NN make/VB
are/VBP dozens/NNS on/IN cosponsors/NNS of/IN
many/JJ on/IN us/PRP have/VBP
distinguished/JJ chairman/NN on/IN the/DT committee/NN
king/NN xz/NN on/IN iowa/NN having/VBG
the/DT committee/NN on/IN the/DT whole/JJ
another/DT area/NN on/IN concern/NN that/IN
this/DT year/NN on/IN the/DT veterans/NNS
line/NN items/NNS on/IN the/DT budget/NN
that/DT period/NN on/IN time/NN from/IN
a/DT result/NN on/IN the/DT hard/JJ
hard/JJ work/NN on/IN the/DT veterans/NNS
working/VBG together/RB on/IN the/DT committee/NN
we/PRP can/MD on/IN fact/NN look/NN
those/DT types/NNS on/IN things/NNS without/IN
of/IN top/NN on/IN all/DT on/IN
on/IN all/DT on/IN this/DT this/DT
find/VB million/CD on/IN cuts/NNS over/IN
take/VB care/NN on/IN our/PRP$ veterans/NNS
the/DT ground/NN on/IN the/DT future/NN
in/IN behalf/NN on/IN america/NN s/VBZ
establishing/VBG priorities/NNS on/IN care/NN for/IN
as/IN chairman/NN on/IN the/DT committee/NN
the/DT meaning/NN on/IN the/DT attacks/NNS
to/TO veterans/NNS on/IN america/NN
this/DT side/NN on/IN the/DT aisle/NN
working/VBG together/RB on/IN a/DT bipartisan/JJ
our/PRP$ lack/NN on/IN fiscal/JJ responsibility/NN
the/DT rights/NNS on/IN coastal/JJ states/NNS
western/JJ gulf/NN on/IN mexico/NN where/WRB
water/NN quality/NN on/IN the/DT chesapeake/NN
nitrogen/NN pollution/NN on/IN these/DT permits/NNS
is/VBZ one/CD on/IN the/DT most/RBS
makes/VBZ all/DT on/IN us/PRP more/JJR
the/DT measurement/NN on/IN success/NN in/IN
the/DT repeal/NN on/IN the/DT limitation/NN
mr/NN chairman/NN on/IN this/DT budget/NN
top/JJ percent/NN on/IN americans/NNS and/CC
to/TO invest/VB on/IN the/DT human/JJ
human/JJ assets/NNS on/IN this/DT country/NN
rescission/NN time/NN on/IN congress/NN president/NN
tiny/JJ bit/NN on/IN compassion/NN and/CC
as/IN cochair/NN on/IN the/DT blue/JJ
