highest/JJS body/NN of/IN elected/VBN officials/NNS 
civil/JJ rights/NNS of/IN ordinary/JJ americans/NNS 
the/DT merits/NNS of/IN class/NN action/NN 
allowing/VBG dozens/NNS of/IN employees/NNS to/TO 
a/DT policy/NN of/IN discrimination/NN 
the/DT law/NN of/IN the/DT state/NN 
for/IN victims/NNS of/IN wage/NN and/CC 
have/VBP payment/NN of/IN wage/NN laws/NNS 
additional/JJ hours/NNS of/IN work/NN 
require/VBP payment/NN of/IN overtime/NN after/IN 
prescribed/JJ number/NN of/IN hours/NNS are/VBP 
the/DT basis/NN of/IN disability/NN 
some/DT of/IN these/DT state/NN 
broader/JJR definition/NN of/IN disability/NN and/CC 
greater/JJR range/NN of/IN protection/NN in/IN 
and/CC some/DT of/IN these/DT state/NN 
including/VBG those/DT of/IN california/NN michigan/NN 
the/DT district/NN of/IN columbia/NN contain/VBP 
comparable/JJ provisions/NNS of/IN the/DT federal/JJ 
the/DT basis/NN of/IN ancestry/NN or/CC 
or/CC place/NN of/IN birth/NN or/CC 
this/DT type/NN of/IN information/NN 
has/VBZ hundreds/NNS of/IN employees/NNS in/IN 
and/CC victims/NNS of/IN discrimination/NN 
for/IN violations/NNS of/IN state/NN law/NN 
in/IN light/NN of/IN the/DT lack/NN 
the/DT lack/NN of/IN any/DT compelling/JJ 
the/DT scope/NN of/IN the/DT bill/NN 
the/DT right/NN of/IN individuals/NNS to/TO 
deputy/NN director/NN of/IN the/DT leadership/NN 
american/JJ association/NN of/IN people/NNS with/IN 
american/JJ association/NN of/IN university/NN women/NNS 
american/JJ federation/NN of/IN government/NN employees/NNS 
american/JJ federation/NN of/IN school/NN administrators/NNS 
american/JJ federation/NN of/IN state/NN county/NN 
american/JJ federation/NN of/IN teachers/NNS american/JJ 
the/DT arc/NN of/IN the/DT united/VBN 
states/NNS association/NN of/IN flight/NN attendants/NNS 
democracy/NN coalition/NN of/IN black/JJ trade/NN 
communications/NNS workers/NNS of/IN america/NN consortium/NN 
international/JJ association/NN of/IN machinists/NNS and/CC 
international/JJ brotherhood/NN of/IN boilermakers/NNS iron/VBP 
international/JJ brotherhood/NN of/IN electrlcal/JJ workers/NNS 
international/JJ brotherhood/NN of/IN teamsters/NNS international/JJ 
international/JJ federation/NN of/IN professional/JJ amp/NN 
international/JJ union/NN of/IN bricklayers/NNS and/CC 
international/JJ union/NN of/IN painters/NNS and/CC 
allied/VBD trades/NNS of/IN the/DT united/VBN 
national/JJ alliance/NN of/IN postal/JJ and/CC 
national/JJ association/NN of/IN protection/NN and/CC 
national/JJ association/NN of/IN social/JJ workers/NNS 
paralyzed/JJ veterans/NNS of/IN america/NN 
workers/NNS union/NN of/IN america/NN transportation/NN 
universalist/JJ association/NN of/IN congregations/NNS unite/VBP 
united/VBD steelworkers/NNS of/IN america/NN utility/NN 
worker/NN union/NN of/IN america/NN and/CC 
fairness/NN act/NN of/IN this/DT bill/NN 
these/DT kinds/NNS of/IN state/NN environmental/JJ 
costeffective/JJ adjudication/NN of/IN their/PRP$ cases/NNS 
large/JJ numbers/NNS of/IN people/NNS not/RB 
not/RB all/DT of/IN whom/WP may/MD 
or/CC residents/NNS of/IN the/DT same/JJ 
as/IN that/DT of/IN the/DT defendants/NNS 
law/NN doctrines/NNS of/IN negligence/NN nuisance/NN 
best/JJS way/NN of/IN fairly/RB resolving/VBG 
example/NN thousands/NNS of/IN families/NNS around/IN 
suffering/VBG because/IN of/IN widespread/JJ groundwater/NN 
least/JJS percent/NN of/IN the/DT time/NN 
least/JJS percent/NN of/IN the/DT time/NN 
in/IN many/JJ of/IN these/DT cases/NNS 
the/DT dismissal/NN of/IN legitimate/JJ cases/NNS 
less/JJR respectful/JJ of/IN statelaw/NN claims/NNS 
other/JJ examples/NNS of/IN statelaw/NN cases/NNS 
removal/NN jurisdiction/NN of/IN the/DT federal/JJ 
the/DT case/NN of/IN a/DT serious/JJ 
were/VBD citizens/NNS of/IN the/DT state/NN 
the/DT type/NN of/IN cases/NNS that/WDT 
that/WDT proponents/NNS of/IN s/PRP cite/VBP 
are/VBP unaware/JJ of/IN any/DT examples/NNS 
bill/NN supporters/NNS of/IN environmental/JJ harm/NN 
alleged/VBN abuses/NNS of/IN the/DT state/NN 
more/JJR proof/NN of/IN the/DT overreaching/NN 
the/DT overreaching/NN of/IN this/DT bill/NN 
the/DT position/NN of/IN having/VBG to/TO 
the/DT kind/NN of/IN reckless/JJ corporate/JJ 
the/DT objections/NNS of/IN those/DT they/PRP 
the/DT availability/NN of/IN a/DT federal/JJ 
parties/NNS out/IN of/IN state/NN court/NN 
the/DT whim/NN of/IN those/DT who/WP 
beetham/NN director/NN of/IN legislative/JJ affairs/NNS 
affairs/NNS defenders/NNS of/IN wildlife/NN 
director/NN friends/NNS of/IN the/DT earth/NN 
acting/VBG director/NN of/IN public/JJ policy/NN 
of/IN attorneys/NNS general/JJ 
limited/JJ aspect/NN of/IN pending/VBG senate/NN 
for/IN support/NN of/IN senator/NN mark/NN 
on/IN behalf/NN of/IN his/PRP$ or/CC 
the/DT consumers/NNS of/IN the/DT state/NN 
certain/JJ provisions/NNS of/IN s/PRP might/MD 
the/DT ability/NN of/IN the/DT attorneys/NNS 
one/CD means/VBZ of/IN protecting/VBG our/PRP$ 
the/DT rights/NNS of/IN our/PRP$ consumers/NNS 
on/IN behalf/NN of/IN consumers/NNS against/IN 
the/DT costs/NNS of/IN certain/JJ prescription/NN 
in/IN recoveries/NNS of/IN approximately/RB million/CD 
the/DT majority/NN of/IN which/WDT is/VBZ 
individual/JJ consumers/NNS of/IN the/DT overcharges/NNS 
a/DT result/NN of/IN the/DT illegal/JJ 
illegal/JJ activities/NNS of/IN the/DT defendants/NNS 
the/DT pockets/NNS of/IN those/DT consumers/NNS 
the/DT provisions/NNS of/IN s/PRP or/CC 
to/TO all/DT of/IN our/PRP$ constituents/NNS 
the/DT provisions/NNS of/IN the/DT act/NN 
overall/JJ purposes/NNS of/IN the/DT legislation/NN 
existing/VBG authority/NN of/IN our/PRP$ respective/JJ 
your/PRP$ consideration/NN of/IN this/DT very/RB 
contact/NN any/DT of/IN us/PRP if/IN 
general/JJ district/NN of/IN columbia/NN 
our/PRP$ side/NN of/IN the/DT aisle/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
superior/JJ piece/NN of/IN legislation/NN before/IN 
an/DT issue/NN of/IN great/JJ moment/NN 
to/TO those/DT of/IN us/PRP who/WP 
the/DT basis/NN of/IN disability/NN 
have/VBP examples/NNS of/IN that/DT 
and/CC then/RB of/IN course/NN the/DT 
the/DT provisions/NNS of/IN the/DT class/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
minority/NN leader/NN of/IN our/PRP$ caucus/NN 
distinguished/JJ member/NN of/IN the/DT committee/NN 
distinguished/JJ member/NN of/IN the/DT committee/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
a/DT cosponsor/NN of/IN the/DT substitute/NN 
the/DT point/NN of/IN order/NN that/IN 
aside/RB generations/NNS of/IN state/NN laws/NNS 
clear/JJ violations/NNS of/IN state/NN labor/NN 
interests/NNS tens/NNS of/IN millions/NNS of/IN 
of/IN millions/NNS of/IN dollars/NNS 
the/DT victims/NNS of/IN corporate/JJ misconduct/NN 
same/JJ level/NN of/IN influence/NN here/RB 
the/DT halls/NNS of/IN congress/NN 
a/DT result/NN of/IN defective/JJ tires/NNS 
a/DT result/NN of/IN the/DT tobacco/NN 
the/DT risks/NNS of/IN cigarettes/NNS 
any/DT indication/NN of/IN this/DT bill/NN 
practical/JJ effect/NN of/IN the/DT change/NN 
the/DT goal/NN of/IN the/DT bill/NN 
the/DT looting/NN of/IN company/NN after/IN 
and/CC investors/NNS of/IN billions/NNS of/IN 
of/IN billions/NNS of/IN dollars/NNS and/CC 
and/CC retirees/NNS of/IN their/PRP$ livelihood/NN 
the/DT victims/NNS of/IN those/DT practices/NNS 
the/DT expense/NN of/IN the/DT powerless/JJ 
is/VBZ part/NN of/IN an/DT ambitious/JJ 
the/DT guise/NN of/IN deregulation/NN we/PRP 
wholesale/JJ dismantling/VBG of/IN health/NN and/CC 
on/IN concentration/NN of/IN ownership/NN within/IN 
a/DT series/NN of/IN assaults/NNS by/IN 
the/DT ability/NN of/IN individuals/NNS to/TO 
a/DT series/NN of/IN assaults/NNS on/IN 
by/IN direction/NN of/IN the/DT committee/NN 
the/DT purpose/NN of/IN debate/NN only/RB 
during/IN consideration/NN of/IN this/DT resolution/NN 
the/DT purpose/NN of/IN debate/NN only/RB 
providing/VBG minutes/NNS of/IN debate/NN for/IN 
for/IN consideration/NN of/IN s/VBZ the/DT 
fairness/NN act/NN of/IN 
all/DT points/NNS of/IN order/NN against/IN 
against/IN consideration/NN of/IN the/DT bill/NN 
the/DT nature/NN of/IN a/DT substitute/NN 
all/DT points/NNS of/IN order/NN against/IN 
both/DT senses/NNS of/IN that/DT term/NN 
both/DT sides/NNS of/IN the/DT aisle/NN 
a/DT vote/NN of/IN to/TO with/IN 
are/VBP differences/NNS of/IN opinion/NN on/IN 
granting/VBG consideration/NN of/IN a/DT substitute/NN 
or/CC percent/NN of/IN the/DT overall/JJ 
the/DT end/NN of/IN the/DT tunnel/NN 
the/DT harassment/NN of/IN local/JJ businesses/NNS 
as/IN part/NN of/IN this/DT forum/NN 
action/NN bill/NN of/IN rights/NNS 
passed/VBD out/IN of/IN the/DT committee/NN 
in/IN favor/NN of/IN the/DT underlying/JJ 
the/DT balance/NN of/IN my/PRP$ time/NN 
to/TO some/DT of/IN the/DT comments/NNS 
primary/JJ beneficiaries/NNS of/IN the/DT classaction/NN 
careful/JJ scrutiny/NN of/IN net/JJ loss/NN 
the/DT benefits/NNS of/IN classaction/NN settlements/NNS 
that/IN notice/NN of/IN proposed/VBN settlements/NNS 
state/NN courts/NNS of/IN connecticut/NN delaware/NN 
the/DT state/NN of/IN massachusetts/NNS 
percent/NN out/IN of/IN of/IN the/DT 
out/IN of/IN of/IN the/DT reported/VBN 
at/IN least/JJS of/IN the/DT massachusetts/NNS 
former/JJ member/NN of/IN the/DT committee/NN 
original/JJ cosponsor/NN of/IN this/DT bill/NN 
the/DT remarks/NNS of/IN the/DT gentlewoman/NN 
in/IN favor/NN of/IN this/DT rule/NN 
the/DT form/NN of/IN a/DT substitute/NN 
every/DT one/CD of/IN the/DT provisions/NNS 
just/RB spoke/VBD of/IN 
every/DT one/CD of/IN those/DT amendments/NNS 
every/DT one/CD of/IN those/DT amendments/NNS 
the/DT history/NN of/IN this/DT body/NN 
jurisdiction/NN act/NN of/IN committee/NN hearing/NN 
jurisdiction/NN act/NN of/IN 
fairness/NN act/NN of/IN 
fairness/NN act/NN of/IN committee/NN hearing/NN 
minority/NN leader/NN of/IN the/DT georgia/NN 
georgia/NN house/NN of/IN representatives/NNS 
real/JJ crux/NN of/IN this/DT problem/NN 
underway/JJ irrespective/RB of/IN the/DT suit/NN 
the/DT members/NNS of/IN the/DT class/NN 
for/IN years/NNS of/IN the/DT committee/NN 
original/JJ cosponsor/NN of/IN hr/NN 
between/IN citizens/NNS of/IN different/JJ states/NNS 
post/NN November/NNP of/IN 
overwhelming/JJ passage/NN of/IN s/PRP by/IN 
a/DT vote/NN of/IN to/TO just/RB 
in/IN favor/NN of/IN reforming/VBG a/DT 
of/IN those/DT were/VBD 
each/DT one/CD of/IN those/DT provisions/NNS 
the/DT nature/NN of/IN a/DT substitute/NN 
each/DT one/CD of/IN them/PRP were/VBD 
the/DT epicenter/NN of/IN this/DT classaction/NN 
remaining/VBG portion/NN of/IN my/PRP$ time/NN 
and/CC many/JJ of/IN the/DT provisions/NNS 
voted/VBN out/IN of/IN committee/NN in/IN 
and/CC understanding/NN of/IN the/DT committee/NN 
the/DT import/NN of/IN these/DT provisions/NNS 
prior/JJ versions/NNS of/IN the/DT legislation/NN 
the/DT chairman/NN of/IN the/DT committee/NN 
an/DT overview/NN of/IN the/DT jurisdictional/JJ 
the/DT intent/NN of/IN the/DT sponsors/NNS 
or/CC more/JJR of/IN the/DT members/NNS 
the/DT members/NNS of/IN the/DT plaintiff/NN 
are/VBP citizens/NNS of/IN the/DT state/NN 
than/IN twothirds/NNS of/IN the/DT members/NNS 
the/DT members/NNS of/IN the/DT plaintiff/NN 
not/RB citizens/NNS of/IN the/DT state/NN 
the/DT laws/NNS of/IN many/JJ states/NNS 
middle/JJ category/NN of/IN class/NN actions/NNS 
than/IN twothirds/NNS of/IN the/DT members/NNS 
the/DT members/NNS of/IN the/DT plaintiff/NN 
all/DT citizens/NNS of/IN the/DT state/NN 
the/DT interests/NNS of/IN justice/NN to/TO 
the/DT consideration/NN of/IN five/CD factors/NNS 
the/DT intent/NN of/IN the/DT legislation/NN 
meet/VBP all/DT of/IN the/DT following/VBG 
than/IN twothirds/NNS of/IN the/DT class/NN 
the/DT citizens/NNS of/IN the/DT state/NN 
by/IN members/NNS of/IN the/DT class/NN 
significant/JJ basis/NN of/IN plaintiffs/NNS claims/VBZ 
related/VBN conduct/NN of/IN each/DT defendant/NN 
against/IN any/DT of/IN the/DT defendants/NNS 
stay/VB out/IN of/IN federal/JJ court/NN 
real/JJ targets/NNS of/IN the/DT lawsuit/NN 
incur/VB most/JJS of/IN the/DT loss/NN 
significant/JJ portions/NNS of/IN the/DT proposed/VBN 
vast/JJ majority/NN of/IN the/DT members/NNS 
the/DT members/NNS of/IN the/DT proposed/VBN 
to/TO each/DT of/IN these/DT exceptions/NNS 
the/DT burden/NN of/IN demonstrating/VBG the/DT 
the/DT applicability/NN of/IN an/DT exemption/NN 
or/CC more/JJR of/IN the/DT class/NN 
are/VBP citizens/NNS of/IN the/DT home/NN 
the/DT burden/NN of/IN demonstrating/VBG that/IN 
the/DT burden/NN of/IN demonstrating/VBG that/IN 
the/DT floor/NN of/IN the/DT house/NN 
a/DT member/NN of/IN the/DT committee/NN 
to/TO members/NNS of/IN her/PRP$ own/JJ 
caucus/NN many/JJ of/IN whom/WP have/VBP 
in/IN each/DT of/IN the/DT last/JJ 
the/DT house/NN of/IN representatives/NNS and/CC 
many/JJ more/JJR of/IN whom/WP will/MD 
a/DT number/NN of/IN the/DT folks/NNS 
other/JJ side/NN of/IN the/DT aisle/NN 
virtually/RB all/DT of/IN the/DT plaintiffs/NNS 
the/DT majority/NN of/IN personal/JJ injury/NN 
are/VBP part/NN of/IN a/DT coordinated/VBN 
none/NN of/IN these/DT cases/NNS 
what/WP kind/NN of/IN cases/NNS would/MD 
select/JJ number/NN of/IN class/NN action/NN 
action/NN wheel/NN of/IN fortune/NN 
selected/VBN products/NNS of/IN an/DT advertised/JJ 
the/DT wheel/NN of/IN fortune/NN and/CC 
buy/VB more/JJR of/IN the/DT water/NN 
to/TO off/IN of/IN their/PRP$ next/JJ 
buy/VB more/JJR of/IN the/DT product/NN 
the/DT size/NN of/IN the/DT computer/NN 
the/DT opponents/NNS of/IN this/DT bill/NN 
is/VBZ one/CD of/IN the/DT actual/JJ 
with/IN this/DT of/IN the/DT woman/NN 
a/DT member/NN of/IN a/DT class/NN 
seeking/VBG redress/NN of/IN her/PRP$ grievances/NNS 
next/JJ purchase/NN of/IN exactly/RB what/WP 
action/NN wheel/NN of/IN fortune/NN because/IN 
not/RB one/CD of/IN those/DT cases/NNS 
the/DT part/NN of/IN any/DT of/IN 
of/IN any/DT of/IN those/DT defendants/NNS 
because/IN all/DT of/IN those/DT were/VBD 
the/DT jurisdiction/NN of/IN a/DT court/NN 
a/DT box/NN of/IN cheerios/NNS like/IN 
gets/VBZ out/IN of/IN the/DT case/NN 
huge/JJ sum/NN of/IN money/NN and/CC 
the/DT predecessor/NN of/IN his/PRP$ seat/NN 
about/IN abuse/NN of/IN plaintiffs/NNS in/IN 
the/DT bank/NN of/IN boston/NN headquartered/VBN 
small/JJ payments/NNS of/IN just/RB a/DT 
a/DT couple/NN of/IN dollars/NNS or/CC 
legal/JJ fees/NNS of/IN what/WP 
when/WRB some/DT of/IN those/DT class/NN 
members/NNS some/DT of/IN those/DT beleaguered/JJ 
small/JJ cartel/NN of/IN class/NN action/NN 
the/DT house/NN of/IN representatives/NNS three/CD 
the/DT majority/NN of/IN personal/JJ injury/NN 
are/VBP part/NN of/IN a/DT coordinated/VBN 
none/NN of/IN these/DT cases/NNS 
plaintiffs/NNS one/CD of/IN the/DT requirements/NNS 
most/JJS of/IN the/DT class/NN 
the/DT wake/NN of/IN the/DT vioxx/NN 
large/JJ number/NN of/IN suits/NNS already/RB 
the/DT kinds/NNS of/IN cases/NNS that/WDT 
action/NN wheel/NN of/IN fortune/NN on/IN 
future/JJ purchase/NN of/IN the/DT alleged/JJ 
for/IN more/JJR of/IN the/DT allegedly/RB 
plaintiffs/NNS one/CD of/IN whom/WP was/VBD 
buy/VB more/JJR of/IN what/WP 
the/DT people/NNS of/IN the/DT country/NN 
companies/NNS percent/NN of/IN our/PRP$ public/JJ 
the/DT balance/NN of/IN my/PRP$ time/NN 
a/DT lot/NN of/IN discussion/NN today/NN 
the/DT intent/NN of/IN these/DT suits/NNS 
huge/JJ amounts/NNS of/IN money/NN 
examples/NNS bank/NN of/IN boston/NN case/NN 
action/NN bill/NN of/IN rights/NNS 
egregious/JJ abuses/NNS of/IN the/DT class/NN 
the/DT value/NN of/IN the/DT settlement/NN 
the/DT benefit/NN of/IN class/NN action/NN 
breaking/VBG one/CD of/IN the/DT main/JJ 
end/VB out/IN of/IN control/NN lawsuits/NNS 
the/DT efforts/NNS of/IN house/NN judiciary/NN 
the/DT land/NN of/IN lincoln/NN where/WRB 
court/NN because/IN of/IN favorable/JJ judges/NNS 
the/DT pockets/NNS of/IN their/PRP$ attorneys/NNS 
the/DT cost/NN of/IN everything/NN we/PRP 
purchases/NNS because/IN of/IN defensive/JJ business/NN 
a/DT matter/NN of/IN principle/NN damage/NN 
s/VBZ share/NN of/IN the/DT settlement/NN 
yearold/JJ son/NN of/IN janet/NN huggins/NNS 
the/DT state/NN of/IN washington/NN who/WP 
s/VBZ group/NN of/IN multiple/JJ states/NNS 
the/DT chamber/NN of/IN commerce/NN is/VBZ 
our/PRP$ system/NN of/IN federalism/NN americans/NNS 
the/DT malefactors/NNS of/IN great/JJ wealth/NN 
the/DT remarks/NNS of/IN my/PRP$ colleagues/NNS 
very/RB heart/NN of/IN the/DT democratic/JJ 
and/CC take/VB of/IN the/DT judicial/JJ 
have/VB redress/NN of/IN their/PRP$ grievances/NNS 
that/IN evidence/NN of/IN greedy/JJ lawyers/NNS 
a/DT signal/NN of/IN greedy/JJ lawyers/NNS 
complete/JJ abuse/NN of/IN the/DT democratic/JJ 
the/DT door/NN of/IN the/DT opportunity/NN 
a/DT jury/NN of/IN their/PRP$ peers/NNS 
small/JJ percentage/NN of/IN times/NNS all/DT 
a/DT number/NN of/IN other/JJ committees/NNS 
no/DT light/NN of/IN day/NN in/IN 
the/DT light/NN of/IN day/NN on/IN 
the/DT light/NN of/IN day/NN on/IN 
the/DT rules/NNS of/IN this/DT house/NN 
the/DT oversight/NN of/IN this/DT house/NN 
be/VB ashamed/JJ of/IN this/DT and/CC 
this/DT and/CC of/IN us/PRP 
the/DT rules/NNS of/IN this/DT house/NN 
the/DT rules/NNS of/IN the/DT house/NN 
their/PRP$ places/NNS of/IN faith/NN and/CC 
the/DT idea/NN of/IN protecting/VBG civil/JJ 
instead/RB of/IN narrowly/RB focusing/VBG 
real/JJ abuses/NNS of/IN the/DT system/NN 
significant/JJ rollback/NN of/IN corporate/JJ accountability/NN 
main/JJ impact/NN of/IN the/DT bill/NN 
a/DT sort/NN of/IN propagandistic/JJ title/NN 
lawsuits/NNS out/IN of/IN state/NN courts/NNS 
the/DT doors/NNS of/IN the/DT courthouse/NN 
packing/VBG out/IN of/IN the/DT door/NN 
the/DT heart/NN of/IN the/DT democratic/JJ 
allows/VBZ consideration/NN of/IN the/DT democratic/JJ 
ranking/JJ member/NN of/IN the/DT judiciary/NN 
the/DT committee/NN of/IN the/DT whole/JJ 
by/IN way/NN of/IN amendment/NN was/VBD 
was/VBD that/IN of/IN punishing/VBG fraudulent/JJ 
a/DT cosponsor/NN of/IN the/DT amendment/NN 
in/IN nature/NN of/IN a/DT substitute/NN 
the/DT removal/NN of/IN nearly/RB all/DT 
wholesale/JJ stripping/VBG of/IN jurisdiction/NN from/IN 
in/IN nature/NN of/IN a/DT substitute/NN 
the/DT context/NN of/IN the/DT terrorist/JJ 
takes/VBZ advantage/NN of/IN loopholes/NNS in/IN 
main/JJ purpose/NN of/IN tax/NN avoidance/NN 
a/DT list/NN of/IN fortune/NN corporations/NNS 
the/DT percentage/NN of/IN increase/NN in/IN 
the/DT number/NN of/IN tax/NN havens/NNS 
the/DT number/NN of/IN corporate/JJ tax/NN 
some/DT of/IN these/DT corporations/NNS 
substantial/JJ amount/NN of/IN their/PRP$ business/NN 
tax/NN deductions/NNS of/IN domestic/JJ corporations/NNS 
the/DT benefit/NN of/IN removing/VBG state/NN 
in/IN nature/NN of/IN a/DT substitute/NN 
the/DT power/NN of/IN the/DT committee/NN 
the/DT amount/NN of/IN dollars/NNS that/WDT 
upon/IN thousands/NNS of/IN plaintiffs/NNS in/IN 
a/DT number/NN of/IN sessions/NNS and/CC 
to/TO some/DT of/IN the/DT larger/JJR 
address/VB some/DT of/IN the/DT large/JJ 
the/DT underpinnings/NNS of/IN this/DT overhaul/NN 
this/DT overhaul/NN of/IN a/DT system/NN 
the/DT midst/NN of/IN conversations/NNS about/IN 
some/DT sort/NN of/IN resolution/NN that/WDT 
heinous/JJ series/NN of/IN events/NNS over/IN 
reconstruct/VB some/DT of/IN the/DT older/JJR 
but/CC because/IN of/IN the/DT notice/NN 
no/DT labeling/VBG of/IN cigarettes/NNS to/TO 
the/DT funding/NN of/IN our/PRP$ federal/JJ 
and/CC thousands/NNS of/IN people/NNS when/WRB 
find/VB one/CD of/IN the/DT defendants/NNS 
the/DT defendants/NNS of/IN a/DT large/JJ 
the/DT headquarters/NN of/IN corporate/JJ entities/NNS 
the/DT opportunity/NN of/IN those/DT who/WP 
the/DT responsibility/NN of/IN finding/VBG some/DT 
the/DT failings/NNS of/IN products/NNS 
unfortunate/JJ activities/NNS of/IN a/DT company/NN 
penalizing/VBG thousands/NNS of/IN workers/NNS all/DT 
lost/VBD all/DT of/IN their/PRP$ dollars/NNS 
with/IN thousands/NNS of/IN other/JJ cases/NNS 
telling/VBG those/DT of/IN us/PRP who/WP 
socalled/JJ millions/NNS of/IN dollars/NNS to/TO 
caused/VBN thousands/NNS of/IN employees/NNS to/TO 
the/DT violation/NN of/IN trust/NN and/CC 
depletes/VBZ all/DT of/IN its/PRP$ savings/NNS 
or/CC all/DT of/IN its/PRP$ accounts/NNS 
the/DT laws/NNS of/IN this/DT land/NN 
no/DT way/NN of/IN seeking/VBG relief/NN 
the/DT expenses/NNS of/IN a/DT federal/JJ 
park/NN because/IN of/IN a/DT defective/JJ 
the/DT doors/NNS of/IN opportunity/NN with/IN 
the/DT state/NN of/IN south/JJ carolina/NN 
the/DT end/NN of/IN the/DT th/NN 
the/DT backlog/NN of/IN cases/NNS all/DT 
a/DT bounty/NN of/IN judges/NNS allows/VBZ 
the/DT millions/NNS of/IN aggrieved/JJ plaintiffs/NNS 
another/DT piece/NN of/IN legislation/NN to/TO 
the/DT doors/NNS of/IN the/DT court/NN 
by/IN way/NN of/IN amendment/NN was/VBD 
was/VBD that/IN of/IN punishing/VBG fraudulent/JJ 
a/DT cosponsor/NN of/IN the/DT amendment/NN 
in/IN nature/NN of/IN a/DT substitute/NN 
the/DT removal/NN of/IN nearly/RB all/DT 
wholesale/JJ stripping/VBG of/IN jurisdiction/NN from/IN 
in/IN nature/NN of/IN a/DT substitute/NN 
the/DT context/NN of/IN the/DT terrorist/JJ 
takes/VBZ advantage/NN of/IN loopholes/NNS in/IN 
main/JJ purpose/NN of/IN tax/NN avoidance/NN 
a/DT list/NN of/IN fortune/NN corporations/NNS 
the/DT percentage/NN of/IN increase/NN in/IN 
the/DT number/NN of/IN tax/NN havens/NNS 
the/DT number/NN of/IN corporate/JJ tax/NN 
some/DT of/IN these/DT corporations/NNS 
substantial/JJ amount/NN of/IN their/PRP$ business/NN 
tax/NN deductions/NNS of/IN domestic/JJ corporations/NNS 
the/DT benefit/NN of/IN removing/VBG state/NN 
massive/JJ number/NN of/IN state/NN claims/NNS 
this/DT kind/NN of/IN litigation/NN the/DT 
by/IN virtue/NN of/IN their/PRP$ creation/NN 
strong/JJ support/NN of/IN both/DT the/DT 
give/VBP millions/NNS of/IN dollars/NNS to/TO 
the/DT history/NN of/IN madison/NN county/NN 
movie/NN bridges/NNS of/IN madison/NN county/NN 
the/DT judges/NNS of/IN madison/NN county/NN 
free/JJ box/NN of/IN cheerios/NNS 
eliminates/VBZ much/RB of/IN the/DT forum/NN 
that/IN most/JJS of/IN the/DT nationwide/JJ 
the/DT value/NN of/IN the/DT coupons/NNS 
the/DT house/NN of/IN representatives/NNS 
lawyers/NNS millions/NNS of/IN dollars/NNS in/IN 
movie/NN bridges/NNS of/IN madison/NN county/NN 
the/DT judges/NNS of/IN madison/NN county/NN 
a/DT box/NN of/IN cheerios/NNS 
eliminates/VBZ much/RB of/IN the/DT forum/NN 
requiring/VBG most/JJS of/IN these/DT nationwide/JJ 
the/DT number/NN of/IN coupons/NNS actually/RB 
the/DT number/NN of/IN hours/NNS actually/RB 
important/JJ piece/NN of/IN legislation/NN 
is/VBZ part/NN of/IN an/DT overall/JJ 
all/DT part/NN of/IN this/DT idea/NN 
former/JJ secretary/NN of/IN treasury/NN for/IN 
nt/JJ matter/NN of/IN course/NN the/DT 
the/DT architect/NN of/IN this/DT republican/JJ 
the/DT beast/NN of/IN course/NN being/VBG 
grim/JJ reaper/NN of/IN regulatory/JJ relief/NN 
the/DT office/NN of/IN management/NN and/CC 
budget/NN inside/IN of/IN the/DT bush/JJ 
endless/JJ rounds/NNS of/IN peer/VBP review/NN 
the/DT lives/NNS of/IN ordinary/JJ consumers/NNS 
the/DT head/NN of/IN the/DT agency/NN 
no/DT likelihood/NN of/IN actually/RB putting/VBG 
the/DT kinds/NNS of/IN protections/NNS which/WDT 
not/RB capable/JJ of/IN really/RB protecting/VBG 
that/IN all/DT of/IN these/DT cases/NNS 
a/DT citizen/NN of/IN the/DT state/NN 
companies/NNS because/IN of/IN the/DT pollution/NN 
the/DT relief/NN of/IN not/RB having/VBG 
the/DT state/NN of/IN new/JJ hampshire/NN 
the/DT state/NN of/IN new/JJ hampshire/NN 
the/DT benefit/NN of/IN this/DT 
the/DT lives/NNS of/IN people/NNS and/CC 
the/DT coffin/NN of/IN the/DT rights/NNS 
the/DT rights/NNS of/IN ordinary/JJ citizens/NNS 
all/DT of/IN these/DT cases/NNS 
wrong/JJ inside/IN of/IN that/DT state/NN 
most/RBS critical/JJ of/IN all/DT consumer/NN 
states/NNS out/IN of/IN state/NN courts/NNS 
practical/JJ effect/NN of/IN the/DT change/NN 
the/DT number/NN of/IN cases/NNS smith/VBP 
technical/JJ defense/NN of/IN it/PRP for/IN 
there/RB one/CD of/IN your/PRP$ family/NN 
the/DT state/NN of/IN new/JJ hampshire/NN 
this/DT side/NN of/IN the/DT aisle/NN 
a/DT department/NN of/IN labor/NN which/WDT 
mrs/VBZ investor/NN of/IN america/NN 
the/DT health/NN of/IN your/PRP$ family/NN 
be/VB outside/JJ of/IN new/JJ hampshire/NN 
the/DT expense/NN of/IN ordinary/JJ families/NNS 
poisoned/VBN thousands/NNS of/IN people/NNS that/IN 
and/CC wellbeing/NN of/IN america/NN skyrocket/NN 
final/JJ passage/NN of/IN this/DT bill/NN 
states/NNS out/IN of/IN state/NN courts/NNS 
practical/JJ effect/NN of/IN the/DT change/NN 
the/DT number/NN of/IN cases/NNS 
